municipio_cod,municipio_fato,data_fato,mes,ano,risp,rmbh,tentado_consumado,qtde_vitimas
310150,ALEM PARAIBA,2022-04-07,4,2022,4º Departamento - Juiz de Fora,3) Interior de MG,TENTADO,1
310160,ALFENAS,2022-03-13,3,2022,18º Departamento - Poços de Caldas,3) Interior de MG,TENTADO,1
310160,ALFENAS,2022-09-03,9,2022,18º Departamento - Poços de Caldas,3) Interior de MG,TENTADO,1
310170,ALMENARA,2022-04-12,4,2022,15º Departamento - Teófilo Otoni,3) Interior de MG,TENTADO,1
310260,ANDRADAS,2022-09-29,9,2022,18º Departamento - Poços de Caldas,3) Interior de MG,TENTADO,1
310285,ANGELANDIA,2022-05-08,5,2022,14º Departamento - Curvelo,3) Interior de MG,TENTADO,1
310340,ARACUAI,2022-09-27,9,2022,15º Departamento - Teófilo Otoni,3) Interior de MG,TENTADO,1
310400,ARAXA,2022-03-12,3,2022,5º Departamento - Uberaba,3) Interior de MG,TENTADO,1
310530,BANDEIRA DO SUL,2022-08-21,8,2022,18º Departamento - Poços de Caldas,3) Interior de MG,TENTADO,2
310620,BELO HORIZONTE,2022-01-03,1,2022,1º Departamento - Belo Horizonte,1) Belo Horizonte,TENTADO,1
310620,BELO HORIZONTE,2022-02-08,2,2022,1º Departamento - Belo Horizonte,1) Belo Horizonte,TENTADO,1
310620,BELO HORIZONTE,2022-02-14,2,2022,1º Departamento - Belo Horizonte,1) Belo Horizonte,TENTADO,2
310620,BELO HORIZONTE,2022-02-25,2,2022,1º Departamento - Belo Horizonte,1) Belo Horizonte,TENTADO,1
310620,BELO HORIZONTE,2022-03-20,3,2022,1º Departamento - Belo Horizonte,1) Belo Horizonte,TENTADO,1
310620,BELO HORIZONTE,2022-03-21,3,2022,1º Departamento - Belo Horizonte,1) Belo Horizonte,TENTADO,1
310620,BELO HORIZONTE,2022-03-23,3,2022,1º Departamento - Belo Horizonte,1) Belo Horizonte,TENTADO,1
310620,BELO HORIZONTE,2022-05-07,5,2022,1º Departamento - Belo Horizonte,1) Belo Horizonte,TENTADO,1
310620,BELO HORIZONTE,2022-05-23,5,2022,1º Departamento - Belo Horizonte,1) Belo Horizonte,TENTADO,1
310620,BELO HORIZONTE,2022-07-10,7,2022,1º Departamento - Belo Horizonte,1) Belo Horizonte,TENTADO,1
310620,BELO HORIZONTE,2022-07-28,7,2022,1º Departamento - Belo Horizonte,1) Belo Horizonte,TENTADO,2
310620,BELO HORIZONTE,2022-08-11,8,2022,1º Departamento - Belo Horizonte,1) Belo Horizonte,TENTADO,2
310620,BELO HORIZONTE,2022-08-15,8,2022,1º Departamento - Belo Horizonte,1) Belo Horizonte,TENTADO,1
310620,BELO HORIZONTE,2022-08-19,8,2022,1º Departamento - Belo Horizonte,1) Belo Horizonte,TENTADO,1
310620,BELO HORIZONTE,2022-08-29,8,2022,1º Departamento - Belo Horizonte,1) Belo Horizonte,TENTADO,1
