municipio_cod,municipio_fato,população (2022),densidade demografica (2022),pib (2021),IDEB (2023),IDH
310620,BELO HORIZONTE,"2.315.560,00","6.988,18","41.818,32","4,50","0,81"
311860,CONTAGEM,"621.863,00","3.193,20","54.136,41","4,60","0,76"
315460,RIBEIRAO DAS NEVES,"329.794,00","2.126,26","15.177,16","4,10","0,68"
317020,UBERLANDIA,"713.224,00","173,31","61.038,02","4,90","0,79"
313670,JUIZ DE FORA,"540.756,00","376,64","35.145,34","4,30","0,78"
310670,BETIM,"411.846,00","1.197,01","73.624,78","4,90","0,75"
314800,PATOS DE MINAS,"159.235,00","49,91","39.738,04","5,00","0,77"
312770,GOVERNADOR VALADARES,"257.171,00","109,79","26.165,06","4,80","0,73"
315780,SANTA LUZIA,"219.132,00","931,66","23.863,19","4,30","0,72"
312230,DIVINOPOLIS,"231.091,00","326,35","34.355,36","5,30","0,76"
314330,MONTES CLAROS,"414.240,00","115,39","25.870,23","5,00","0,77"
315250,POUSO ALEGRE,"152.217,00","280,43","69.478,81","4,80","0,77"
316990,UBA,"103.365,00","253,69","30.288,91","4,90","0,72"
310160,ALFENAS,"78.970,00","92,86","43.049,74","4,30","0,76"
311340,CARATINGA,"87.360,00","69,42","24.518,79","4,90","0,71"
